Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,IdPlusDate
7086361926,4/22/16,1,428,448,7086361926 42482
7086361926,4/24/16,1,681,704,7086361926 42484
7086361926,4/25/16,1,446,447,7086361926 42485
7086361926,4/26/16,1,485,500,7086361926 42486
7086361926,4/27/16,1,469,479,7086361926 42487
7086361926,4/28/16,1,354,367,7086361926 42488
7086361926,4/30/16,1,485,489,7086361926 42490
7086361926,5/1/16,1,388,407,7086361926 42491
7086361926,5/2/16,1,440,459,7086361926 42492
7086361926,5/3/16,1,456,461,7086361926 42493
7086361926,5/4/16,1,420,436,7086361926 42494
7086361926,5/6/16,1,322,333,7086361926 42496
7086361926,5/7/16,1,530,548,7086361926 42497
7086361926,5/8/16,1,481,510,7086361926 42498
7086361926,5/9/16,1,427,438,7086361926 42499
7086361926,5/11/16,1,451,463,7086361926 42501
7086361926,5/12/16,1,444,457,7086361926 42502
8053475328,4/20/16,1,486,493,8053475328 42480
8053475328,4/23/16,1,331,337,8053475328 42483
8053475328,5/7/16,1,74,75,8053475328 42497
8378563200,4/12/16,1,338,356,8378563200 42472
8378563200,4/13/16,2,447,487,8378563200 42473
8378563200,4/14/16,1,424,455,8378563200 42474
8378563200,4/15/16,1,513,533,8378563200 42475
8378563200,4/16/16,2,611,689,8378563200 42476
8378563200,4/17/16,2,525,591,8378563200 42477
8378563200,4/18/16,1,398,451,8378563200 42478
8378563200,4/19/16,1,387,421,8378563200 42479
8378563200,4/20/16,1,381,409,8378563200 42480
8378563200,4/21/16,1,396,417,8378563200 42481
8378563200,4/22/16,1,441,469,8378563200 42482
8378563200,4/23/16,1,565,591,8378563200 42483
8378563200,4/24/16,1,458,492,8378563200 42484
8378563200,4/25/16,1,388,402,8378563200 42485
8378563200,4/26/16,1,550,584,8378563200 42486
8378563200,4/27/16,1,531,600,8378563200 42487
8378563200,4/28/16,1,506,556,8378563200 42488
8378563200,4/29/16,1,527,562,8378563200 42489
8378563200,4/30/16,1,468,555,8378563200 42490
8378563200,5/1/16,1,475,539,8378563200 42491
8378563200,5/2/16,1,351,385,8378563200 42492
8378563200,5/3/16,1,405,429,8378563200 42493
8378563200,5/4/16,1,441,477,8378563200 42494
8378563200,5/5/16,1,381,417,8378563200 42495
8378563200,5/6/16,1,323,355,8378563200 42496
8378563200,5/7/16,2,459,513,8378563200 42497
8378563200,5/8/16,1,545,606,8378563200 42498
8378563200,5/9/16,1,359,399,8378563200 42499
8378563200,5/10/16,1,342,391,8378563200 42500
8378563200,5/11/16,1,368,387,8378563200 42501
8378563200,5/12/16,1,496,546,8378563200 42502
8792009665,4/12/16,1,458,493,8792009665 42472
8792009665,4/13/16,1,531,552,8792009665 42473
8792009665,4/14/16,1,486,503,8792009665 42474
8792009665,4/15/16,1,363,377,8792009665 42475
8792009665,4/20/16,1,528,547,8792009665 42480
8792009665,4/22/16,1,391,407,8792009665 42482
8792009665,4/23/16,1,339,360,8792009665 42483
8792009665,4/27/16,1,423,428,8792009665 42487
8792009665,4/28/16,1,402,416,8792009665 42488
8792009665,4/29/16,1,398,406,8792009665 42489
8792009665,4/30/16,1,343,360,8792009665 42490
8792009665,5/1/16,1,503,527,8792009665 42491
8792009665,5/2/16,1,415,423,8792009665 42492
8792009665,5/3/16,1,516,545,8792009665 42493
8792009665,5/4/16,1,439,463,8792009665 42494
